Age,Occupation,Residence_Area,Movement_Frequency,Active_Times,Primary_Transport_Mode,Vehicle_Type,Delay_Causes,Accident_Frequency,Accident_Causes,Safety_Rating,Traffic_Regulations_Enforcement,Traffic_Changes,Traffic_Volume(target)
18 - 25,Student,West,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
18 - 25,Student,South,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,2
26 - 35,Employed (part-time),East,Daily,Morning rush hour,Public transit (bus),Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,No change,2
18 - 25,Student,West,Daily,Early morning;Evening rush hour,Public transit (bus),Car,Road construction,Never,"Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,2
46 - 55,Student,North,Daily,Evening rush hour,Car,Car,Accidents;Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,No change,2
18 - 25,Student,East,Occasionally,Mid day;Late at  night,Car,Car,Accidents;Road construction,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,2
18 - 25,Student,East,Daily,Morning rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
18 - 25,Student,East,Several times a week,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,2
18 - 25,Student,East,Daily,Evening rush hour,Car,Motorcycle,Accidents;Non adherence to traffic rules,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,Improvement,2
18 - 25,Student,West,Daily,Morning rush hour;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,Traffic ,Somewhat safe,Yes,No change,2
18 - 25,Student,East,Daily,Morning rush hour;Evening rush hour,Car,SUV,Heavy traffic due to peak hours,Sometimes,Speeding,Very safe,Maybe,No change,2
36 - 45,Student,West,Daily,Early morning,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours;The city is not designed for this number of cars,Never,"Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
36 - 45,Student,North,Occasionally,Evening rush hour;Late at  night,Car,Car;SUV,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
26 - 35,Student,East,Occasionally,Morning rush hour;Mid day,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very unsafe,No,No change,2
36 - 45,Student,East,Daily,Early morning;Mid day,Car,Motorcycle,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,Improvement,2
18 - 25,Employed (full-time),North,Several times a week,Morning rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Very safe,Yes,No change,2
36 - 45,Student,North,Several times a week,Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,2
46 - 55,Employed (full-time),North,Daily,Evening rush hour,Car,Car,Accidents,Rarely,Speeding,Neutral,Yes,No change,2
18 - 25,Retired,East,Daily,Early morning;Morning rush hour;Evening rush hour,Walking,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Very unsafe,Maybe,No change,2
18 - 25,Student,South,Occasionally,Early morning;Mid day;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours;The city is not designed for this number of cars,Sometimes,"Speeding;Distracted driving (e.g., phone use);poor driving skills",Somewhat safe,Yes,Improvement,2
26 - 35,Student,West,Daily,Early morning,Car,Car,Accidents;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very safe,Maybe,Improvement,2
46 - 55,Student,North,Daily,Morning rush hour;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
56 and above,Student,South,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,Improvement,2
36 - 45,Employed (full-time),South,Daily,Early morning;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,No change,2
46 - 55,Employed (full-time),West,Several times a week,Early morning;Evening rush hour;Late at  night,Public transit (bus),Car,Road construction,Often,"Speeding;Distracted driving (e.g., phone use)",Very safe,Maybe,No change,2
36 - 45,Student,North,Daily,Evening rush hour,Car,Car,Accidents;Road construction,Rarely,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
18 - 25,Student,East,Several times a week,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Student,South,Several times a week,Morning rush hour;Mid day,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,2
36 - 45,Employed (full-time),North,Daily,Mid day;Evening rush hour;Late at  night,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,Improvement,2
18 - 25,Employed (full-time),North,Several times a week,Early morning,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,2
18 - 25,Student,North,Daily,Morning rush hour,Motorcycle,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Neutral,No,Improvement,2
18 - 25,Student,North,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Maybe,Improvement,2
26 - 35,Student,North,Daily,Early morning;Mid day;Evening rush hour;Late at  night,Public transit (bus),Truck,Accidents;Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,No change,2
18 - 25,Student,East,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,No change,2
18 - 25,Student,North,Occasionally,Early morning;Mid day;Evening rush hour,Car,Car,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,2
18 - 25,Student,West,Occasionally,Late at  night,Taxi / Uber,Car;SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,Improvement,2
18 - 25,Employed (full-time),West,Daily,Mid day,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very unsafe,Maybe,No change,2
36 - 45,Retired,West,Several times a week,Evening rush hour,Car,Motorcycle,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Retired,East,Occasionally,Early morning;Morning rush hour;Mid day;Evening rush hour,Bicycle,SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
18 - 25,Employed (part-time),North,Several times a week,Morning rush hour;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
36 - 45,Employed (full-time),North,Occasionally,Evening rush hour,Car,SUV,Accidents,Often,"Distracted driving (e.g., phone use)",Neutral,No,No change,2
26 - 35,Student,East,Occasionally,Evening rush hour,Car,SUV,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,Improvement,2
36 - 45,Employed (full-time),South,Daily,Morning rush hour;Evening rush hour,Car,Car;SUV,Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,No,Improvement,2
18 - 25,Student,South,Several times a week,Mid day,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,No,No change,2
18 - 25,Employed (part-time),North,Daily,Early morning;Mid day;Evening rush hour;Late at  night,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very safe,Maybe,No change,2
26 - 35,Student,East,Occasionally,Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Student,West,Several times a week,Evening rush hour,Public transit (bus),Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,No,Improvement,2
18 - 25,Student,North,Daily,Morning rush hour,Car,SUV,Accidents;Road construction,Sometimes,Speeding,Neutral,Yes,No change,2
36 - 45,Employed (full-time),South,Daily,Early morning;Mid day;Late at  night,Motorcycle,SUV,Accidents;Road construction,Often,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Student,North,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,Car;SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,2
46 - 55,Student,West,Occasionally,Morning rush hour;Evening rush hour,Car,Car;SUV,Accidents;Road construction,Never,"Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,2
18 - 25,Retired,East,Occasionally,Early morning;Morning rush hour;Mid day;Evening rush hour,Taxi / Uber,Car;SUV,Heavy traffic due to peak hours,Rarely,Speeding,Somewhat safe,Maybe,Improvement,2
18 - 25,Student,East,Occasionally,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car;SUV,Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
46 - 55,Employed (full-time),West,Daily,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
18 - 25,Employed (full-time),North,Daily,Early morning;Morning rush hour;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction,Sometimes,Poor road conditions,Somewhat unsafe,Yes,No change,2
46 - 55,Employed (full-time),East,Several times a week,Morning rush hour,Car,SUV,Road construction,Sometimes,Speeding,Very unsafe,Yes,No change,2
26 - 35,Student,East,Daily,Early morning;Mid day;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours;The city is not designed for this number of cars,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,Improvement,2
26 - 35,Employed (full-time),East,Several times a week,Mid day;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,2
36 - 45,Self-employed,South,Several times a week,Morning rush hour;Evening rush hour;Late at  night,Car,SUV,Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use)",Somewhat unsafe,No,No change,2
36 - 45,Doctor ,South,Occasionally,Morning rush hour;Evening rush hour,Public transit (bus),Motorcycle,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
18 - 25,Employed (full-time),South,Daily,Early morning;Evening rush hour,Car,Car,Accidents,Rarely,Speeding;Weather conditions,Very safe,Yes,No change,2
18 - 25,Student,East,Occasionally,Morning rush hour;Evening rush hour,Car,Truck,Heavy traffic due to peak hours,Sometimes,Speeding,Neutral,No,No change,2
26 - 35,Student,East,Daily,Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,No,No change,2
18 - 25,Employed (full-time),East,Daily,Early morning;Mid day,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,Improvement,2
18 - 25,Student,East,Daily,Early morning,Car,SUV,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,2
18 - 25,Employed (full-time),East,Daily,Morning rush hour,Public transit (bus),Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Very unsafe,Yes,Improvement,2
36 - 45,Employed (full-time),East,Occasionally,Mid day,Car,Car,Accidents;Heavy traffic due to peak hours,Rarely,Speeding;Poor road conditions,Neutral,Yes,Improvement,2
26 - 35,Retired,West,Daily,Early morning;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Often,Speeding;Poor road conditions,Neutral,Yes,No change,2
18 - 25,Student,North,Daily,Morning rush hour,Car,SUV,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Yes,Improvement,2
18 - 25,Student,East,Daily,Early morning,Car,Car,Road construction,Rarely,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,2
26 - 35,Student,South,Occasionally,Morning rush hour;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
26 - 35,Student,West,Daily,Morning rush hour;Mid day,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Maybe,Improvement,2
56 and above,Student,North,Daily,Early morning;Evening rush hour,Car,Truck,Heavy traffic due to peak hours,Rarely,Speeding,Neutral,Yes,No change,2
18 - 25,Student,East,Daily,Morning rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,No,No change,2
18 - 25,Student,East,Daily,Early morning;Morning rush hour;Evening rush hour,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,2
18 - 25,Employed (full-time),East,Several times a week,Mid day;Late at  night,Car,SUV,Road construction,Rarely,Speeding,Neutral,Yes,No change,2
18 - 25,Employed (full-time),West,Daily,Early morning;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,No,Improvement,2
18 - 25,Self-employed,North,Occasionally,Mid day;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,2
46 - 55,Retired,East,Occasionally,Morning rush hour,Walking,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,Improvement,2
18 - 25,Employed (full-time),North,Daily,Early morning;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding;Poor road conditions,Very safe,Yes,Improvement,2
18 - 25,Employed (full-time),East,Several times a week,Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
26 - 35,Student,North,Several times a week,Morning rush hour;Mid day,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,No,Improvement,2
18 - 25,Student,East,Daily,Morning rush hour;Mid day,Car,SUV,Accidents;Road construction,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,Improvement,2
36 - 45,Employed (full-time),East,Occasionally,Evening rush hour;Late at  night,Car,Car;Truck;Motorcycle,Road construction;Heavy traffic due to peak hours,Sometimes,Speeding;Poor road conditions,Neutral,Yes,No change,2
18 - 25,Employed (full-time),East,Daily,Morning rush hour;Evening rush hour;Late at  night,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,No change,2
18 - 25,Student,East,Several times a week,Early morning;Mid day;Evening rush hour;Late at  night,Car,Car,Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,2
36 - 45,Employed (part-time),South,Occasionally,Mid day;Late at  night,Car,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Student,South,Several times a week,Morning rush hour;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
36 - 45,Employed (full-time),East,Daily,Evening rush hour,Car,Car,Road construction,Often,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
18 - 25,Retired,North,Daily,Early morning;Evening rush hour,Car,Car;SUV,Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,2
36 - 45,Student,South,Occasionally,Morning rush hour,Motorcycle,Car,Accidents;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,Improvement,2
36 - 45,Employed (full-time),West,Occasionally,Morning rush hour;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
36 - 45,Employed (full-time),North,Occasionally,Morning rush hour;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,2
18 - 25,Student,West,Daily,Early morning;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
26 - 35,Employed (full-time),East,Daily,Mid day;Evening rush hour;Late at  night,Car,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Employed (full-time),East,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Motorcycle,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Student,South,Daily,Late at  night,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Somewhat safe,Maybe,No change,2
18 - 25,Employed (full-time),West,Daily,Evening rush hour,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,2
18 - 25,Employed (full-time),North,Daily,Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
36 - 45,Employed (full-time),North,Occasionally,Early morning;Morning rush hour;Mid day,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding,Somewhat safe,Maybe,Improvement,2
36 - 45,Employed (part-time),East,Occasionally,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Road construction,Often,"Speeding;Distracted driving (e.g., phone use);Urgency to pass red light quickly when it’s going yellow to red",Somewhat safe,Maybe,No change,2
18 - 25,Student,East,Daily,Early morning,Walking,Car,Road construction,Never,Speeding,Very safe,Yes,Improvement,2
18 - 25,Student,South,Daily,Early morning;Morning rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,Improvement,2
18 - 25,Student,North,Occasionally,Mid day;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,2
26 - 35,Student,East,Daily,Early morning,Car,Car,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,No change,2
18 - 25,Employed (full-time),West,Daily,Early morning;Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,No change,2
26 - 35,Employed (full-time),East,Daily,Mid day,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
36 - 45,Student,West,Occasionally,Early morning,Car,Car,Heavy traffic due to peak hours,Rarely,Poor road conditions;Weather conditions,Somewhat safe,Yes,No change,2
18 - 25,Employed (full-time),North,Several times a week,Morning rush hour;Evening rush hour;Late at  night,Car,SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,No change,2
18 - 25,Student,East,Several times a week,Early morning;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,No change,2
18 - 25,Student,East,Daily,Morning rush hour,Car,SUV,Accidents,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,2
18 - 25,Employed (full-time),West,Occasionally,Evening rush hour,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Sometimes,Speeding,Very safe,Yes,Improvement,2
18 - 25,Employed (full-time),West,Several times a week,Early morning;Morning rush hour;Mid day,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Maybe,No change,2
18 - 25,Student,West,Several times a week,Early morning;Mid day,Car,Car,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Neutral,No,No change,2
26 - 35,Student,North,Daily,Mid day;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,No change,2
18 - 25,Employed (full-time),East,Occasionally,Morning rush hour;Mid day;Evening rush hour,Car,SUV,Road construction,Sometimes,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Employed (full-time),East,Daily,Morning rush hour,Car,Car,Road construction,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,No change,2
18 - 25,Employed (full-time),East,Daily,Morning rush hour,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,No,Improvement,2
26 - 35,Student,East,Several times a week,Morning rush hour;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Maybe,Improvement,2
18 - 25,Student,East,Occasionally,Early morning;Mid day,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,Improvement,2
18 - 25,Employed (full-time),North,Several times a week,Mid day;Late at  night,Car,Car,Road construction,Sometimes,"Distracted driving (e.g., phone use)",Neutral,No,Improvement,2
18 - 25,Retired,South,Occasionally,Morning rush hour,Car,SUV,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Student,West,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
18 - 25,Student,East,Occasionally,Early morning;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,Improvement,2
36 - 45,Employed (full-time),East,Several times a week,Evening rush hour;Late at  night,Car,SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Neutral,Yes,No change,2
18 - 25,Student,West,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,Improvement,2
18 - 25,Student,South,Several times a week,Early morning;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Student,South,Daily,Morning rush hour;Evening rush hour;Late at  night,Car,Car,Accidents;Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
18 - 25,Student,East,Daily,Morning rush hour;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
18 - 25,Student,South,Several times a week,Morning rush hour;Evening rush hour,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Urgency to pass red light quickly when it’s going yellow to red",Neutral,Yes,No change,2
18 - 25,Employed (full-time),East,Daily,Mid day;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,Poor road conditions,Neutral,No,No change,2
18 - 25,Employed (full-time),West,Daily,Early morning,Taxi / Uber,Car,Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Neutral,No,No change,2
18 - 25,Student,East,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car;SUV,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
26 - 35,Retired,East,Daily,Early morning,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Employed (part-time),North,Several times a week,Evening rush hour,Car,Truck,Road construction,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Student,South,Several times a week,Early morning,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
18 - 25,Student,North,Daily,Morning rush hour;Mid day;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
18 - 25,Student,East,Several times a week,Mid day;Evening rush hour;Late at  night,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,Poor road conditions,Very safe,Yes,No change,2
18 - 25,Employed (full-time),North,Several times a week,Early morning;Mid day,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,2
18 - 25,Employed (full-time),West,Daily,Early morning;Late at  night,Car,No car ,Heavy traffic due to peak hours,Sometimes,Speeding,Somewhat safe,Maybe,No change,2
18 - 25,Employed (part-time),North,Daily,Morning rush hour,Car,Car,Accidents,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Maybe,No change,2
18 - 25,Student,South,Daily,Morning rush hour;Mid day;Evening rush hour,Car,SUV,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Maybe,No change,2
18 - 25,Employed (full-time),South,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
